Weld,C,Mn,Si,S,P,Ti,B,Al,N,O,Cr ,Ni,Mo,V,Cu ,Nb,YS,TS,Temp
MnTi,0.08,1.38,0.39,0.007,0.006,0.021,0.0002,0.0005,0.009,0.0304,0.03,0.03,0.005,0.0005,0.03,0.0005,485,559,-54
MnTi,0.077,1.82,0.28,0.007,0.006,0.0008,0.0002,0.0005,0.0098,0.0415,0.03,0.03,0.005,0.0005,0.03,0.0005,458,568,-5
MnTi,0.076,1.74,0.29,0.008,0.006,0.0035,0.0002,0.0005,0.0092,0.0415,0.03,0.03,0.005,0.0005,0.03,0.0005,500,571,-62
MnTi,0.074,1.78,0.28,0.007,0.007,0.011,0.0002,0.0005,0.0084,0.0376,0.03,0.03,0.005,0.0005,0.03,0.0005,484,577,-54
MnTi,0.076,1.88,0.33,0.006,0.007,0.017,0.0002,0.0005,0.0078,0.0336,0.03,0.03,0.005,0.0005,0.03,0.0005,510,590,-52
MnTi,0.079,1.84,0.36,0.006,0.007,0.026,0.0002,0.0005,0.0084,0.03,0.03,0.03,0.005,0.0005,0.03,0.0005,536,612,-53
MnV,0.073,0.64,0.35,0.005,0.004,0.0038,0.0002,0.0005,0.0077,0.0428,0.03,0.03,0.005,0.0003,0.03,0.0005,402,494,-45
MnV,0.071,0.64,0.36,0.006,0.006,0.0043,0.0002,0.0005,0.0078,0.0435,0.03,0.03,0.005,0.022,0.03,0.0005,436,513,-43
MnV,0.071,0.64,0.44,0.008,0.005,0.0036,0.0002,0.0005,0.0088,0.0411,0.03,0.03,0.005,0.045,0.03,0.0005,478,546,-43
MnV,0.073,0.62,0.37,0.008,0.005,0.0031,0.0002,0.0005,0.0075,0.0432,0.03,0.03,0.005,0.061,0.03,0.0005,488,548,-42
MnV,0.072,0.64,0.37,0.008,0.005,0.0034,0.0002,0.0005,0.0084,0.0436,0.03,0.03,0.005,0.083,0.03,0.0005,490,563,-40
MnV,0.077,1.02,0.35,0.007,0.005,0.0041,0.0002,0.0005,0.0075,0.0399,0.03,0.03,0.005,0.0004,0.03,0.0005,443,522,-60
MnV,0.074,1.02,0.37,0.007,0.005,0.0037,0.0002,0.0005,0.0075,0.0426,0.03,0.03,0.005,0.024,0.03,0.0005,456,534,-69
MnV,0.075,1.05,0.34,0.007,0.005,0.0032,0.0002,0.0005,0.0048,0.0429,0.03,0.03,0.005,0.046,0.03,0.0005,505,570,-63
MnV,0.074,1.03,0.32,0.007,0.006,0.0031,0.0002,0.0005,0.007,0.0429,0.03,0.03,0.005,0.061,0.03,0.0005,509,576,-59
MnV,0.077,1.06,0.33,0.008,0.006,0.0034,0.0002,0.0005,0.0072,0.04,0.03,0.03,0.005,0.084,0.03,0.0005,538,592,-60
MnV,0.077,1.33,0.31,0.007,0.005,0.0038,0.0002,0.0005,0.008,0.0419,0.03,0.03,0.005,0.0004,0.03,0.0005,463,541,-68
MnV,0.072,1.2,0.33,0.008,0.006,0.0029,0.0002,0.0005,0.0085,0.0447,0.03,0.03,0.005,0.019,0.03,0.0005,486,545,-66
MnV,0.078,1.35,0.27,0.007,0.006,0.0029,0.0002,0.0005,0.0079,0.041,0.03,0.03,0.005,0.043,0.03,0.0005,536,590,-70
MnV,0.078,1.34,0.32,0.007,0.007,0.003,0.0002,0.0005,0.0076,0.0405,0.03,0.03,0.005,0.06,0.03,0.0005,521,589,-70
MnV,0.076,1.35,0.26,0.007,0.006,0.0029,0.0002,0.0005,0.0083,0.0407,0.03,0.03,0.005,0.099,0.03,0.0005,599,638,-55
MnV,0.076,1.74,0.29,0.008,0.006,0.0035,0.0002,0.0005,0.0092,0.0415,0.03,0.03,0.005,0.0004,0.03,0.0005,500,571,-62
MnV,0.079,1.72,0.26,0.006,0.007,0.0027,0.0002,0.0005,0.0072,0.0423,0.03,0.03,0.005,0.024,0.03,0.0005,543,607,-62
MnV,0.076,1.71,0.27,0.007,0.007,0.0025,0.0002,0.0005,0.0074,0.0423,0.03,0.03,0.005,0.04,0.03,0.0005,578,617,-67
MnV,0.078,1.71,0.26,0.005,0.007,0.0025,0.0002,0.0005,0.0086,0.0405,0.03,0.03,0.005,0.06,0.03,0.0005,589,650,-64
MnV,0.087,1.77,0.26,0.006,0.007,0.0025,0.0002,0.0005,0.009,0.0411,0.03,0.03,0.005,0.084,0.03,0.0005,639,681,-61
N2,0.065,1.37,0.39,0.006,0.006,0.0055,0.0002,0.0005,0.0083,0.0417,0.03,0.03,0.005,0.012,0.03,0.002,494,546,-57
N2,0.062,1.34,0.41,0.005,0.006,0.0055,0.0002,0.0005,0.0113,0.044,0.03,0.03,0.005,0.012,0.03,0.002,501,558,-50
N2,0.061,1.34,0.41,0.006,0.006,0.0055,0.0002,0.0005,0.0153,0.0432,0.03,0.03,0.005,0.012,0.03,0.002,529,585,-45
N2,0.061,1.28,0.37,0.006,0.006,0.0055,0.0002,0.0005,0.0213,0.0416,0.03,0.03,0.005,0.012,0.03,0.002,549,601,-35
P,0.067,1.43,0.38,0.005,0.007,0.0055,0.0002,0.0005,0.0058,0.0433,0.03,0.03,0.005,0.012,0.03,0.002,508,561,-57
P,0.069,1.37,0.39,0.005,0.015,0.0055,0.0002,0.0005,0.0061,0.0418,0.03,0.03,0.005,0.012,0.03,0.002,515,571,-54
P,0.066,1.4,0.37,0.005,0.023,0.0055,0.0002,0.0005,0.0063,0.0431,0.03,0.03,0.005,0.012,0.03,0.002,499,559,-55
P,0.066,1.36,0.35,0.005,0.03,0.0055,0.0002,0.0005,0.0061,0.0421,0.03,0.03,0.005,0.012,0.03,0.002,507,563,-54
P,0.065,1.45,0.35,0.006,0.04,0.0055,0.0002,0.0005,0.0062,0.0426,0.03,0.03,0.005,0.012,0.03,0.002,510,568,-53
S,0.063,1.39,0.37,0.007,0.007,0.0055,0.0002,0.0005,0.0054,0.0437,0.03,0.03,0.005,0.012,0.03,0.002,489,546,-61
S,0.057,1.41,0.37,0.016,0.007,0.0055,0.0002,0.0005,0.0058,0.0457,0.03,0.03,0.005,0.012,0.03,0.002,473,546,-52
S,0.057,1.38,0.35,0.027,0.007,0.0055,0.0002,0.0005,0.0055,0.048,0.03,0.03,0.005,0.012,0.03,0.002,471,527,-47
S,0.062,1.39,0.36,0.038,0.007,0.0055,0.0002,0.0005,0.0052,0.05,0.03,0.03,0.005,0.012,0.03,0.002,474,527,-27
S,0.063,1.38,0.35,0.046,0.008,0.0055,0.0002,0.0005,0.0052,0.0516,0.03,0.03,0.005,0.012,0.03,0.002,463,523,-16
Tab,0.076,1.52,0.26,0.009,0.012,0.0002,0.0002,0.0007,0.0077,0.0457,0.03,0.03,0.005,0.0005,0.03,0.0005,460,541,-16
Tab,0.073,1.51,0.21,0.01,0.012,0.0081,0.0002,0.0008,0.0096,0.0418,0.03,0.03,0.005,0.0005,0.03,0.0005,481,557,-48
Tab,0.072,1.49,0.14,0.01,0.012,0.0142,0.0002,0.0004,0.011,0.0409,0.03,0.03,0.005,0.0005,0.03,0.0005,482,562,-32
Tab,0.079,1.46,0.11,0.007,0.012,0.021,0.0002,0.0005,0.012,0.0403,0.03,0.03,0.005,0.0005,0.03,0.0005,476,565,-29
Tab,0.088,1.38,0.11,0.01,0.01,0.029,0.0002,0.0005,0.014,0.0425,0.03,0.03,0.005,0.0005,0.03,0.0005,482,563,-39
Tab,0.068,1.58,0.28,0.007,0.008,0.014,0.0002,0.0061,0.0094,0.045,0.03,0.03,0.005,0.0005,0.03,0.0005,517,584,-40
Tab,0.069,1.7,0.25,0.008,0.008,0.028,0.0002,0.0089,0.0116,0.0433,0.03,0.03,0.005,0.0005,0.03,0.0005,547,610,-41
Tab,0.083,1.71,0.26,0.007,0.009,0.049,0.0002,0.015,0.0135,0.0452,0.03,0.03,0.005,0.0005,0.03,0.0005,610,661,-28
Tab,0.079,1.84,0.27,0.007,0.009,0.077,0.0002,0.025,0.0153,0.0473,0.03,0.03,0.005,0.0005,0.03,0.0005,619,675,-33
Tab,0.071,1.61,0.22,0.007,0.008,0.0005,0.0002,0.0017,0.0071,0.0445,0.03,0.03,0.005,0.0005,0.03,0.0005,473,558,-3
Tab,0.078,1.76,0.19,0.007,0.007,0.0005,0.0002,0.0045,0.0064,0.0418,0.03,0.03,0.005,0.0005,0.03,0.0005,482,571,-15
Tab,0.086,1.85,0.16,0.006,0.008,0.0005,0.0002,0.008,0.0063,0.0417,0.03,0.03,0.005,0.0005,0.03,0.0005,497,577,-8
Tab,0.09,1.89,0.14,0.006,0.007,0.0005,0.0002,0.013,0.0057,0.0418,0.03,0.03,0.005,0.0005,0.03,0.0005,516,599,-23
Tab,0.087,1.97,0.17,0.006,0.008,0.026,0.0002,0.016,0.0081,0.0394,0.03,0.03,0.005,0.0005,0.03,0.0005,571,631,-59
Tab,0.082,1.92,0.2,0.006,0.007,0.042,0.0002,0.018,0.0102,0.0433,0.03,0.03,0.005,0.0005,0.03,0.0005,596,655,-46
Tab,0.066,1.42,0.17,0.009,0.008,0.0015,0.0002,0.0007,0.0079,0.049,0.03,0.03,0.005,0.0005,0.03,0.0005,475,544,-58
Tab,0.068,1.38,0.1,0.009,0.007,0.0029,0.0002,0.0005,0.009,0.0528,0.03,0.03,0.005,0.0005,0.03,0.0005,460,528,-61
Tab,0.063,1.3,0.07,0.009,0.006,0.0042,0.0002,0.0005,0.0082,0.0652,0.03,0.03,0.005,0.0005,0.03,0.0005,437,497,-39
Tab,0.063,1.23,0.04,0.009,0.007,0.005,0.0002,0.0005,0.0084,0.0806,0.03,0.03,0.005,0.0005,0.03,0.0005,427,499,-33
Tab,0.076,1.51,0.32,0.009,0.008,0.0005,0.0002,0.0005,0.0067,0.0387,0.03,0.03,0.005,0.0005,0.03,0.0005,482,568,-32
Tab,0.08,1.58,0.37,0.008,0.008,0.0005,0.0002,0.0005,0.0062,0.0399,0.03,0.03,0.005,0.0005,0.03,0.0005,491,584,-34
Tab,0.083,1.63,0.39,0.008,0.008,0.0005,0.0002,0.0005,0.0074,0.0425,0.03,0.03,0.005,0.0005,0.03,0.0005,482,581,-32
Tab,0.085,1.62,0.45,0.008,0.007,0.0005,0.0002,0.0005,0.0073,0.0475,0.03,0.03,0.005,0.0005,0.03,0.0005,497,605,-40
Tab,0.077,1.66,0.24,0.006,0.009,0.009,0.0002,0.0005,0.0098,0.0389,0.03,0.03,0.005,0.0005,0.03,0.0005,491,561,-52
Tab,0.077,1.67,0.25,0.006,0.009,0.016,0.0002,0.0005,0.0088,0.0349,0.03,0.03,0.005,0.0005,0.03,0.0005,494,577,-51
Tab,0.08,1.77,0.23,0.006,0.009,0.025,0.0002,0.0005,0.0086,0.0319,0.03,0.03,0.005,0.0005,0.03,0.0005,510,586,-59
Tab,0.08,1.82,0.23,0.005,0.009,0.036,0.0002,0.0005,0.0093,0.0309,0.03,0.03,0.005,0.0005,0.03,0.0005,562,625,-73
Tab,0.075,1.63,0.24,0.006,0.007,0.0005,0.0002,0.0017,0.0083,0.0455,0.03,0.03,0.005,0.0005,0.03,0.0005,475,558,-22
Tab,0.079,1.71,0.24,0.007,0.008,0.0005,0.0002,0.0023,0.0085,0.0427,0.03,0.03,0.005,0.0005,0.03,0.0005,487,572,-12
Tab,0.087,1.9,0.2,0.006,0.006,0.0005,0.0002,0.0048,0.0089,0.0396,0.03,0.03,0.005,0.0005,0.03,0.0005,535,623,-7
Tab,0.102,1.89,0.21,0.006,0.007,0.0005,0.0002,0.0065,0.0103,0.0392,0.03,0.03,0.005,0.0005,0.03,0.0005,515,622,-18
Tab,0.075,1.59,0.16,0.006,0.006,0.0005,0.0002,0.0005,0.0092,0.0445,0.03,0.03,0.005,0.0005,0.03,0.0005,453,539,-32
Tab,0.073,1.71,0.06,0.006,0.006,0.0005,0.0002,0.0005,0.0079,0.0569,0.03,0.03,0.005,0.0005,0.03,0.0005,467,542,-37
Tab,0.064,1.69,0.02,0.005,0.005,0.0005,0.0002,0.0005,0.0065,0.0725,0.03,0.03,0.005,0.0005,0.03,0.0005,430,501,-49
Tab,0.053,1.64,0.001,0.005,0.005,0.0005,0.0002,0.0005,0.006,0.0907,0.03,0.03,0.005,0.0005,0.03,0.0005,418,489,-23
Tab,0.069,1.43,0.24,0.006,0.006,0.0028,0.0002,0.0005,0.0085,0.0421,0.03,0.03,0.005,0.0005,0.03,0.0005,510,574,-55
Tab,0.075,1.51,0.26,0.007,0.006,0.0046,0.0002,0.0011,0.0099,0.0407,0.03,0.03,0.005,0.0005,0.03,0.0005,513,577,-62
Tab,0.07,1.56,0.28,0.007,0.005,0.0065,0.0002,0.0007,0.0094,0.0383,0.03,0.03,0.005,0.0005,0.03,0.0005,511,580,-59
Tab,0.075,1.59,0.27,0.006,0.005,0.0078,0.0002,0.0005,0.011,0.0351,0.03,0.03,0.005,0.0005,0.03,0.0005,514,577,-48
Tab,0.072,1.59,0.36,0.006,0.008,0.0026,0.0002,0.0013,0.0094,0.0361,0.03,0.03,0.005,0.0005,0.03,0.0005,478,560,-56
Tab,0.072,1.65,0.43,0.007,0.007,0.0052,0.0002,0.0005,0.0096,0.0357,0.03,0.03,0.005,0.0005,0.03,0.0005,537,601,-61
Tab,0.072,1.71,0.52,0.006,0.01,0.0082,0.0002,0.0005,0.0093,0.0347,0.03,0.03,0.005,0.0005,0.03,0.0005,555,617,-60
Tab,0.077,1.69,0.61,0.006,0.005,0.012,0.0002,0.0011,0.0095,0.0328,0.03,0.03,0.005,0.0005,0.03,0.0005,566,638,-47
Tab,0.067,1.38,0.14,0.007,0.008,0.0005,0.0002,0.0005,0.0098,0.0534,0.03,0.03,0.005,0.0005,0.03,0.0005,431,510,-25
Tab,0.058,1.18,0.05,0.008,0.007,0.0005,0.0002,0.0008,0.0097,0.088,0.03,0.03,0.005,0.0005,0.03,0.0005,426,477,-51
Tab,0.048,0.99,0.01,0.008,0.01,0.0005,0.0002,0.0007,0.0072,0.118,0.03,0.03,0.005,0.0005,0.03,0.0005,350,404,-24
Tab,0.036,0.77,0.001,0.007,0.005,0.0005,0.0002,0.0003,0.0077,0.1535,0.03,0.03,0.005,0.0005,0.03,0.0005,310,345,0
Tab,0.07,1.62,0.48,0.007,0.008,0.0005,0.0002,0.0007,0.0089,0.0415,0.03,0.03,0.005,0.0005,0.03,0.0005,482,566,-22
Tab,0.075,1.69,0.69,0.006,0.008,0.0005,0.0002,0.0005,0.0063,0.0405,0.03,0.03,0.005,0.0005,0.03,0.0005,505,602,-26
Tab,0.075,1.69,0.9,0.006,0.01,0.0005,0.0002,0.0005,0.0072,0.0405,0.03,0.03,0.005,0.0005,0.03,0.0005,510,613,-28
Tab,0.079,1.74,1.11,0.006,0.01,0.0005,0.0002,0.0005,0.0068,0.038,0.03,0.03,0.005,0.0005,0.03,0.0005,529,638,-33
Tab,0.08,1.69,0.25,0.006,0.009,0.0005,0.0002,0.0005,0.0073,0.041,0.03,0.03,0.005,0.0005,0.03,0.0005,484,554,-29
Tab,0.074,1.8,0.19,0.005,0.011,0.0005,0.0002,0.0005,0.008,0.035,0.03,0.03,0.005,0.0005,0.03,0.0005,479,558,-27
Tab,0.079,1.91,0.17,0.004,0.011,0.0005,0.0002,0.0005,0.0059,0.0335,0.03,0.03,0.005,0.0005,0.03,0.0005,491,578,-31
Tab,0.079,1.95,0.14,0.003,0.009,0.0005,0.0002,0.0005,0.0053,0.029,0.03,0.03,0.005,0.0005,0.03,0.0005,493,573,-29
Tab,0.073,1.73,0.33,0.005,0.012,0.0005,0.0002,0.0005,0.008,0.034,0.03,0.03,0.005,0.0005,0.03,0.0005,482,570,-31
Tab,0.087,1.99,0.4,0.004,0.01,0.0005,0.0002,0.0005,0.0055,0.031,0.03,0.03,0.005,0.0005,0.03,0.0005,499,593,-32
Tab,0.088,2.06,0.46,0.003,0.009,0.0005,0.0002,0.0005,0.0059,0.028,0.03,0.03,0.005,0.0005,0.03,0.0005,527,625,-36
Tab,0.097,2.08,0.56,0.003,0.008,0.0005,0.0002,0.0005,0.0035,0.022,0.03,0.03,0.005,0.0005,0.03,0.0005,564,661,-47
Tab,0.082,1.74,0.2,0.006,0.012,0.0005,0.0002,0.0005,0.0083,0.0378,0.03,0.03,0.005,0.0005,0.03,0.0005,491,576,-29
Tab,0.084,1.72,0.11,0.005,0.01,0.0005,0.0002,0.0014,0.0066,0.0379,0.03,0.03,0.005,0.0005,0.03,0.0005,481,547,-29
Tab,0.082,1.74,0.05,0.004,0.009,0.0005,0.0002,0.0005,0.0053,0.0528,0.03,0.03,0.005,0.0005,0.03,0.0005,461,529,-33
Tab,0.083,1.73,0.23,0.005,0.008,0.0005,0.0002,0.0005,0.0072,0.0389,0.03,0.03,0.005,0.0005,0.03,0.0005,491,571,-28
Tab,0.086,1.79,0.12,0.004,0.008,0.0005,0.0002,0.0005,0.0076,0.0423,0.03,0.03,0.005,0.0005,0.03,0.0005,505,572,-20
Tab,0.075,1.47,0.26,0.005,0.007,0.0056,0.0002,0.0009,0.0097,0.0367,0.03,0.03,0.005,0.0005,0.03,0.0005,501,556,-66
Tab,0.082,1.58,0.28,0.006,0.007,0.011,0.0002,0.0005,0.0103,0.0377,0.03,0.03,0.005,0.0005,0.03,0.0005,523,580,-54
Tab,0.094,1.58,0.29,0.006,0.007,0.0155,0.0002,0.0005,0.0096,0.0293,0.03,0.03,0.005,0.0005,0.03,0.0005,537,591,-61
Tab,0.091,1.63,0.31,0.005,0.007,0.0233,0.0002,0.0017,0.0113,0.0287,0.03,0.03,0.005,0.0005,0.03,0.0005,566,626,-64
Tab,0.074,1.46,0.21,0.007,0.007,0.001,0.0002,0.0005,0.0096,0.0425,0.03,0.03,0.005,0.0005,0.03,0.0005,472,552,-48
Tab,0.08,1.5,0.17,0.007,0.007,0.0022,0.0002,0.0005,0.0111,0.0459,0.03,0.03,0.005,0.0005,0.03,0.0005,515,568,-60
Tab,0.073,1.51,0.21,0.008,0.007,0.0034,0.0002,0.0005,0.0104,0.043,0.03,0.03,0.005,0.0005,0.03,0.0005,508,559,-66
Tab,0.078,1.51,0.18,0.007,0.008,0.0044,0.0002,0.0005,0.0114,0.0395,0.03,0.03,0.005,0.0005,0.03,0.0005,491,558,-54
Tab,0.079,1.53,0.19,0.005,0.009,0.0052,0.0002,0.0005,0.0094,0.044,0.03,0.03,0.005,0.0005,0.03,0.0005,485,550,-56
Tab,0.076,1.42,0.12,0.006,0.008,0.0094,0.0002,0.0011,0.013,0.049,0.03,0.03,0.005,0.0005,0.03,0.0005,480,553,-17
Tab,0.069,1.3,0.05,0.006,0.007,0.013,0.0002,0.0012,0.013,0.058,0.03,0.03,0.005,0.0005,0.03,0.0005,463,538,-30
Tab,0.072,1.32,0.03,0.006,0.006,0.015,0.0002,0.002,0.014,0.068,0.03,0.03,0.005,0.0005,0.03,0.0005,472,540,-22
Tab,0.075,1.49,0.26,0.006,0.008,0.0057,0.0002,0.0005,0.012,0.039,0.03,0.03,0.005,0.0005,0.03,0.0005,501,573,-52
Tab,0.078,1.61,0.27,0.006,0.008,0.012,0.0002,0.0009,0.015,0.036,0.03,0.03,0.005,0.0005,0.03,0.0005,542,604,-43
Tab,0.08,1.69,0.3,0.006,0.014,0.018,0.0002,0.0012,0.015,0.035,0.03,0.03,0.005,0.0005,0.03,0.0005,536,613,-37
Tab,0.084,1.74,0.25,0.005,0.011,0.023,0.0002,0.002,0.019,0.035,0.03,0.03,0.005,0.0005,0.03,0.0005,594,660,-23
Tab,0.074,1.68,0.34,0.006,0.009,0.0005,0.0002,0.0017,0.0061,0.041,0.03,0.03,0.005,0.0005,0.03,0.0005,466,559,-23
Tab,0.089,1.84,0.4,0.006,0.01,0.0005,0.0002,0.0042,0.007,0.041,0.03,0.03,0.005,0.0005,0.03,0.0005,487,600,-12
Tab,0.097,1.96,0.49,0.005,0.009,0.0005,0.0002,0.0089,0.0089,0.038,0.03,0.03,0.005,0.0005,0.03,0.0005,542,648,-22
Tab,0.098,1.95,0.59,0.005,0.009,0.0005,0.0002,0.015,0.006,0.038,0.03,0.03,0.005,0.0005,0.03,0.0005,553,665,-26
Tab,0.082,1.71,0.32,0.007,0.008,0.01,0.0002,0.0011,0.007,0.036,0.03,0.03,0.005,0.0005,0.03,0.0005,517,580,-45
Tab,0.083,1.77,0.42,0.006,0.008,0.02,0.0002,0.0005,0.007,0.03,0.03,0.03,0.005,0.0005,0.03,0.0005,519,599,-48
Tab,0.085,1.88,0.51,0.004,0.009,0.031,0.0002,0.0005,0.0089,0.0249,0.03,0.03,0.005,0.0005,0.03,0.0005,586,665,-55
Tab,0.089,1.9,0.61,0.005,0.008,0.055,0.0002,0.0005,0.0066,0.0241,0.03,0.03,0.005,0.0005,0.03,0.0005,622,695,-54
Tab,0.085,1.74,0.33,0.006,0.008,0.0005,0.0002,0.002,0.0055,0.0386,0.03,0.03,0.005,0.0005,0.03,0.0005,497,584,-24
Tab,0.09,1.85,0.41,0.005,0.008,0.0005,0.0002,0.0051,0.0062,0.036,0.03,0.03,0.005,0.0005,0.03,0.0005,522,618,-20
Tab,0.1,1.95,0.46,0.005,0.008,0.0005,0.0002,0.0109,0.0062,0.0334,0.03,0.03,0.005,0.0005,0.03,0.0005,566,659,-31
Tab,0.11,2.1,0.51,0.004,0.008,0.0005,0.0002,0.0183,0.0053,0.0288,0.03,0.03,0.005,0.0005,0.03,0.0005,595,692,-31
Tab,0.092,1.57,0.33,0.006,0.009,0.0005,0.0002,0.0073,0.0093,0.0405,0.03,0.03,0.005,0.0005,0.03,0.0005,490,588,-22
Tab,0.098,1.72,0.41,0.006,0.009,0.0005,0.0002,0.0202,0.0077,0.0424,0.03,0.03,0.005,0.0005,0.03,0.0005,524,627,-15
Tab,0.102,1.89,0.46,0.005,0.01,0.0005,0.0002,0.035,0.0072,0.05,0.03,0.03,0.005,0.0005,0.03,0.0005,566,665,6
Tab,0.107,1.92,0.51,0.005,0.006,0.0005,0.0002,0.056,0.0058,0.0486,0.03,0.03,0.005,0.0005,0.03,0.0005,579,672,9
TiBAlN,0.07,1.57,0.45,0.006,0.01,0.039,0.0039,0.0013,0.0083,0.0308,0.03,0.03,0.005,0.0005,0.03,0.0005,546,594,-84
TiBAlN,0.07,1.53,0.44,0.007,0.01,0.045,0.0048,0.0068,0.0082,0.037,0.03,0.03,0.005,0.0005,0.03,0.0005,583,602,-82
TiBAlN,0.07,1.56,0.49,0.007,0.01,0.042,0.0048,0.016,0.0067,0.0438,0.03,0.03,0.005,0.0005,0.03,0.0005,610,640,-83
TiBAlN,0.07,1.51,0.57,0.007,0.012,0.046,0.0051,0.031,0.006,0.0482,0.03,0.03,0.005,0.0005,0.03,0.0005,595,660,-48
TiBAlN,0.07,1.53,0.6,0.006,0.01,0.044,0.0054,0.038,0.0053,0.0473,0.03,0.03,0.005,0.0005,0.03,0.0005,675,742,-37
TiBAlN,0.08,1.44,0.6,0.006,0.007,0.054,0.0056,0.058,0.0041,0.044,0.03,0.03,0.005,0.0005,0.03,0.0005,668,732,-12
TiBAlN,0.07,1.48,0.34,0.007,0.01,0.037,0.004,0.0005,0.0149,0.0281,0.03,0.03,0.005,0.0005,0.03,0.0005,532,585,-48
TiBAlN,0.07,1.49,0.34,0.007,0.01,0.041,0.0036,0.0061,0.015,0.0382,0.03,0.03,0.005,0.0005,0.03,0.0005,558,594,-45
TiBAlN,0.07,1.45,0.43,0.006,0.01,0.047,0.0037,0.017,0.013,0.0439,0.03,0.03,0.005,0.0005,0.03,0.0005,532,584,-43
TiBAlN,0.07,1.43,0.43,0.005,0.01,0.049,0.0041,0.033,0.012,0.0489,0.03,0.03,0.005,0.0005,0.03,0.0005,543,596,-60
TiBAlN,0.07,1.44,0.55,0.005,0.01,0.046,0.0048,0.046,0.012,0.0479,0.03,0.03,0.005,0.0005,0.03,0.0005,574,632,-56
TiBAlN,0.07,1.44,0.63,0.005,0.01,0.048,0.0044,0.056,0.012,0.0473,0.03,0.03,0.005,0.0005,0.03,0.0005,571,644,-64
TiBAlN,0.07,1.51,0.36,0.007,0.008,0.041,0.0044,0.0005,0.0232,0.0292,0.03,0.03,0.005,0.0005,0.03,0.0005,539,605,-24
TiBAlN,0.07,1.38,0.35,0.007,0.012,0.05,0.0038,0.0062,0.0245,0.0412,0.03,0.03,0.005,0.0005,0.03,0.0005,525,602,-4
TiBAlN,0.07,1.45,0.5,0.006,0.011,0.047,0.0045,0.018,0.023,0.044,0.03,0.03,0.005,0.0005,0.03,0.0005,493,583,13
TiBAlN,0.07,1.44,0.54,0.005,0.014,0.045,0.0042,0.031,0.023,0.048,0.03,0.03,0.005,0.0005,0.03,0.0005,523,597,-1
TiBAlN,0.07,1.38,0.52,0.006,0.011,0.041,0.0035,0.038,0.0225,0.0478,0.03,0.03,0.005,0.0005,0.03,0.0005,524,608,-14
TiBAlN,0.07,1.42,0.6,0.006,0.012,0.043,0.0035,0.056,0.0235,0.047,0.03,0.03,0.005,0.0005,0.03,0.0005,529,591,-45
TiBN,0.073,1.51,0.3,0.007,0.007,0.0005,0.0001,0.0005,0.0094,0.0449,0.03,0.03,0.005,0.0005,0.03,0.0005,462,539,-15
TiBN,0.067,1.53,0.27,0.008,0.007,0.0002,0.0016,0.0005,0.0086,0.0456,0.03,0.03,0.005,0.0005,0.03,0.0005,461,530,-11
TiBN,0.071,1.58,0.29,0.007,0.006,0.0002,0.0028,0.0005,0.0084,0.0452,0.03,0.03,0.005,0.0005,0.03,0.0005,462,537,-14
TiBN,0.066,1.48,0.33,0.008,0.007,0.0005,0.0064,0.0005,0.0074,0.0511,0.03,0.03,0.005,0.0005,0.03,0.0005,467,542,-22
TiBN,0.066,1.48,0.37,0.008,0.008,0.0005,0.0109,0.0005,0.0063,0.0493,0.03,0.03,0.005,0.0005,0.03,0.0005,431,521,-37
TiBN,0.068,1.53,0.39,0.008,0.007,0.0005,0.0146,0.0005,0.0083,0.0489,0.03,0.03,0.005,0.0005,0.03,0.0005,470,547,-50
TiBN,0.064,1.49,0.4,0.007,0.005,0.0005,0.0195,0.0005,0.0085,0.0503,0.03,0.03,0.005,0.0005,0.03,0.0005,478,561,-34
TiBN,0.074,1.46,0.28,0.008,0.008,0.0035,0.0003,0.0005,0.0079,0.0443,0.03,0.03,0.005,0.0005,0.03,0.0005,460,533,-68
TiBN,0.068,1.51,0.34,0.007,0.008,0.0033,0.0033,0.0005,0.007,0.047,0.03,0.03,0.005,0.0005,0.03,0.0005,514,575,-60
TiBN,0.065,1.48,0.35,0.007,0.007,0.0034,0.007,0.0005,0.0074,0.0466,0.03,0.03,0.005,0.0005,0.03,0.0005,479,540,-55
TiBN,0.064,1.43,0.36,0.007,0.007,0.0036,0.0112,0.0005,0.0071,0.0447,0.03,0.03,0.005,0.0005,0.03,0.0005,479,533,-65
TiBN,0.067,1.45,0.31,0.008,0.008,0.0038,0.014,0.0005,0.0075,0.0449,0.03,0.03,0.005,0.0005,0.03,0.0005,477,545,-60
TiBN,0.066,1.44,0.39,0.007,0.009,0.0045,0.0192,0.0005,0.0071,0.0435,0.03,0.03,0.005,0.0005,0.03,0.0005,460,557,-50
TiBN,0.074,1.45,0.3,0.007,0.009,0.012,0.0002,0.0005,0.0084,0.0337,0.03,0.03,0.005,0.0005,0.03,0.0005,480,538,-43
TiBN,0.071,1.55,0.35,0.007,0.01,0.013,0.0038,0.0005,0.0068,0.037,0.03,0.03,0.005,0.0005,0.03,0.0005,512,560,-57
TiBN,0.071,1.53,0.34,0.007,0.01,0.011,0.0071,0.0005,0.0069,0.038,0.03,0.03,0.005,0.0005,0.03,0.0005,486,540,-56
TiBN,0.068,1.45,0.34,0.008,0.009,0.013,0.0112,0.0005,0.0084,0.0339,0.03,0.03,0.005,0.0005,0.03,0.0005,488,554,-65
